ticket_id,created_at,topic,priority,status,conversation,resolution_time_hours,customer_satisfaction
TKT-1000,2026-02-12 14:43:51,Login Issues,Low,Resolved,Two-factor authentication code never arrives.,26.464151126062017,3.0
TKT-1001,2026-02-11 14:24:51,Feature Requests,Medium,In Progress,Requesting batch upload feature for multiple files. Tried all troubleshooting steps already.,,
TKT-1002,2026-02-10 15:16:51,Data Issues,Medium,Closed,Data export incomplete - only showing 50% of records.,14.952051380333758,
TKT-1003,2026-02-11 09:49:51,Payment Problems,Medium,In Progress,Subscription renewal failed. Account suspended. Tried all troubleshooting steps already.,,
TKT-1004,2026-02-12 14:11:51,Payment Problems,Low,Open,Payment failed with error code 402. Card was charged twice.,,
TKT-1005,2026-02-09 14:02:51,Payment Problems,Medium,Resolved,Refund not received after 5 business days.,30.554526981377613,2.0
TKT-1006,2026-02-09 13:29:51,Payment Problems,Low,Open,Payment failed with error code 402. Card was charged twice. Tried all troubleshooting steps already.,,
TKT-1007,2026-02-11 13:30:51,Login Issues,High,Closed,Two-factor authentication code never arrives.,8.563440614532242,
TKT-1008,2026-02-08 11:12:51,Account Management,Low,In Progress,Want to transfer account ownership to another user.,,
TKT-1009,2026-02-09 17:35:51,Account Management,High,Resolved,Need to upgrade my plan to Enterprise.,3.7772112756198966,5.0
TKT-1010,2026-02-08 13:21:51,Performance Issues,High,Closed,API response time increased by 300% this week.,8.243457244470896,4.0
TKT-1011,2026-02-12 10:02:51,Login Issues,High,Resolved,Cannot log into my account. Getting 'invalid credentials' error. Urgent - this is blocking our business operations.,11.770600696278562,4.0
TKT-1012,2026-02-12 11:41:51,Payment Problems,High,Resolved,Payment processing stuck at 'pending' for 24 hours. Please escalate to senior support.,8.996874667719784,5.0
TKT-1013,2026-02-08 17:36:51,Bug Reports,High,In Progress,Notification emails contain broken links. Urgent - this is blocking our business operations.,,
TKT-1014,2026-02-09 13:29:51,Bug Reports,Medium,Resolved,Export function generates corrupted PDF files.,26.890703722769295,2.0
TKT-1015,2026-02-08 12:15:51,Data Issues,Low,Closed,Cannot delete old records - getting permission error. This has been happening for 3 days now.,61.97241858569596,3.0
TKT-1016,2026-02-11 11:23:51,Bug Reports,Medium,Resolved,Notification emails contain broken links.,45.94150571559778,4.0
TKT-1017,2026-02-08 17:47:51,Payment Problems,High,Closed,Cannot add new payment method. System keeps rejecting my card. Please escalate to senior support.,9.624200473981396,5.0
TKT-1018,2026-02-09 13:46:51,Bug Reports,Medium,Closed,Search results showing wrong data after last update.,13.202985805459296,5.0
TKT-1019,2026-02-11 10:50:51,Payment Problems,Low,Open,Refund not received after 5 business days. Tried all troubleshooting steps already.,,
TKT-1020,2026-02-11 15:02:51,Login Issues,Medium,Closed,Password reset not working. Link expired.,43.6398593049604,2.0
