ticket_id,created_at,conversation
TKT-1000,08/02/2026 09:53,Password reset not working. Link expired.
TKT-1001,11/02/2026 15:53,Can I get a refund for unused months?
TKT-1002,09/02/2026 10:49,Notification emails contain broken links.
TKT-1003,10/02/2026 13:12,Subscription renewal failed. Account suspended.
TKT-1004,10/02/2026 17:03,Notification emails contain broken links.
TKT-1005,08/02/2026 15:00,Subscription renewal failed. Account suspended.
TKT-1006,10/02/2026 14:39,Payment failed with error code 402. Card was charged twice. Please escalate to senior support.
TKT-1007,12/02/2026 12:33,Can I get a refund for unused months?
TKT-1008,10/02/2026 13:53,API response time increased by 300% this week. This has been happening for 3 days now.
TKT-1009,10/02/2026 09:29,Want to transfer account ownership to another user.
TKT-1010,09/02/2026 11:58,Need to upgrade my plan to Enterprise.
TKT-1011,11/02/2026 12:46,Export function generates corrupted PDF files.
TKT-1012,08/02/2026 16:14,Missing data from yesterday's import.
TKT-1013,09/02/2026 12:29,Subscription renewal failed. Account suspended.
TKT-1014,12/02/2026 09:43,Can you add export to Excel functionality?
TKT-1015,09/02/2026 14:57,Payment failed with error code 402. Card was charged twice.
TKT-1016,10/02/2026 13:34,Dashboard crashes when filtering by date range. Please escalate to senior support.
TKT-1017,12/02/2026 17:52,Duplicate records appearing in my dashboard.
TKT-1018,09/02/2026 17:35,Cannot add new payment method. System keeps rejecting my card. This has been happening for 3 days now.
TKT-1019,10/02/2026 17:44,Please add support for SSO with Google Workspace.
TKT-1020,12/02/2026 10:54,Two-factor authentication code never arrives.
TKT-1021,12/02/2026 11:41,Need to upgrade my plan to Enterprise.
TKT-1022,10/02/2026 15:27,Need invoice for last 3 months for accounting.
TKT-1023,09/02/2026 17:13,Would like dark mode option in the app. Multiple users affected by this issue.
TKT-1024,10/02/2026 15:19,File upload takes forever for large files.
TKT-1025,10/02/2026 17:53,Payment processing stuck at 'pending' for 24 hours. Urgent - this is blocking our business operations.
TKT-1026,10/02/2026 15:58,Mobile app freezes on Android 13.
TKT-1027,11/02/2026 14:40,Cannot log into my account. Getting 'invalid credentials' error. Tried all troubleshooting steps already.
TKT-1028,08/02/2026 17:35,Login button not responding on mobile app.
TKT-1029,09/02/2026 09:30,Missing data from yesterday's import.
TKT-1030,08/02/2026 16:12,Subscription renewal failed. Account suspended.
TKT-1031,08/02/2026 15:10,Export function generates corrupted PDF files. This has been happening for 3 days now.
TKT-1032,10/02/2026 12:51,Notification emails contain broken links.
TKT-1033,08/02/2026 17:43,Search results showing wrong data after last update.
TKT-1034,09/02/2026 11:42,Reports taking 10+ minutes to generate.
TKT-1035,09/02/2026 13:48,Requesting batch upload feature for multiple files.
TKT-1036,10/02/2026 15:48,Refund not received after 5 business days. Multiple users affected by this issue.
TKT-1037,12/02/2026 11:09,Can I get a refund for unused months?
TKT-1038,12/02/2026 11:40,Please add support for SSO with Google Workspace.
TKT-1039,09/02/2026 10:05,Please add support for SSO with Google Workspace. Tried all troubleshooting steps already.
TKT-1040,11/02/2026 13:26,Password reset not working. Link expired.
TKT-1041,11/02/2026 17:17,Refund not received after 5 business days.
TKT-1042,08/02/2026 14:49,Need API access for integration with our CRM.
